Types,price,ranking,souvenir,address,url
餅乾類,450,60,みりん堂「スカイツリーせんべい」,東京スカイツリー周辺　東京都墨田区琴平1-13-7,http://mirindo.com/
點心類,1080,59,ブールミッシュ「パンダのマカロン」,上野駅　エキュート上野 3F,http://www.boulmich.co.jp
小蛋糕類,2484,58,日本茶菓SANOAH「キャラメルサンドクッキー 胡桃抹茶」,新宿駅　伊勢丹 B1F,http://www.n-sanoah.jp/product/itm-sta-ks
餅乾類,648,57,桂新堂「渋谷えびせんべい」,渋谷駅　渋谷ヒカリエShinQs B2F,http://www.keishindo.co.jp
麵包類,432,56,アンデルセン「パンダ食パン」,上野駅　アトレ上野 1F,http://www.andersen-net.jp
小蛋糕類,850,55,マミーズ･アン･スリール「パンダのアップルパイ」,上野駅　エキュート上野 3F,http://www.net-ekinaka.com/shop/g/gRNUNSWET1841-RSP5002/
小蛋糕類,1512,54,ボビーユーハイム「新・品川ロール」,品川駅　エキュート品川 1F,https://www.juchheim.co.jp/brand/
果乾類,1800,53,Garrett Popcorn Shops（ギャレットポップコーンショップス）「TOKYO ギフトボックス」,東京駅一番街 B1F,https://jpgarrettpopcorn.com/about/
餅乾類,1080,52,ヨックモック「東京スカイツリー 缶 プティ シガール」,東京スカイツリー　東京ソラマチ 4F,https://www.yokumoku.jp/yokumoku/cms/preview.php
點心類,778,51,浅草 満願堂「栗入り芋きん」,浅草駅　エキミセ 1F,https://www.yokumoku.jp/yokumoku/cms/preview.php
